股票代码,股票简称,最新公告日期,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),季度环比增长(%),利润分配,所处行业
000001,平安银行,2023-04-25 00:00:00,0.65,45098000000,14602000000,3.39,-2.4000692536,13.6,19.41672678553,5.62485829125,None,8.3305,64.8639,None,银行
000002,万科A,2023-04-29 00:00:00,0.1251,68474007399.21,1445811341.87,0.6,9.2663215029,1.16,20.620089405489,0.586830186829,15.4473261534,-58.7916,-74.0306,None,房地产开发
000004,ST国华,2023-04-29 00:00:00,-0.0559,21255770.69,-7427185.74,-2.13,88.709843837,40.92,2.597511869278,-0.225303882238,60.8712200028,-74.1534,98.6205,None,软件开发
000005,ST星源,2023-04-29 00:00:00,-0.0026,28171813.23,-2802012.83,-0.23,-3.7161857039,-279,1.142890570775,-0.039592382227,5.6297168274,-74.2662,98.3133,None,环保行业
000006,深振业A,2023-04-29 00:00:00,-0.009,265640113.06,-12085882.25,-0.15,-24.4035197821,-127.2,5.844290674886,-0.478642524589,37.565557502,-87.9851,-105.5304,None,房地产开发
000007,*ST全新,2023-04-29 00:00:00,-0.0007,49531240.17,-232199.04,-0.26,-10.1507149788,94.77,0.260604034266,0.114871728472,21.9063634037,83.9268,-106.4916,None,房地产服务
000008,神州高铁,2023-04-28 00:00:00,-0.0121,431343230.64,-32949016.59,-1.35,100.0801316735,35.82,1.599620008861,-0.038405899843,36.7598842399,-47.7689,95.0904,None,交运设备
000009,中国宝安,2023-04-29 00:00:00,0.0928,8232161260.44,239346190.45,2.58,44.5847675752,44.94,3.65865759813,0.669779235908,18.5310142302,-13.5792,-58.8076,None,综合行业
000010,美丽生态,2023-04-28 00:00:00,-0.0259,123962806.8,-27469373.14,-4.05,-32.6006084752,-1490.51,0.640608613489,0.005262811047,7.0529073967,131.0061,94.8441,None,工程建设
000011,深物业A,2023-04-28 00:00:00,0.0222,411469619.15,13216750.95,0.3,-67.2347652195,-93.98,7.427656728837,-0.70329634693,24.5903367444,-27.6057,-83.8662,None,房地产开发
000012,南玻A,2023-04-26 00:00:00,0.13,4070673784,396406087,3.04,46.1269924499,3.32,4.31481093653,-0.092619894503,22.2354278439,-7.378,2.5168,None,玻璃玻纤
000014,沙河股份,2023-04-28 00:00:00,0.67,389370140.21,161573954.98,12.95,172.883968438,929.34,5.487533117889,1.67540215868,67.2050781755,-0.8574,153.8056,None,房地产开发
000016,深康佳A,2023-04-29 00:00:00,0.0633,4600647851.61,152513923.41,1.98,-44.704654227,46.12,3.229545839874,-0.491176387592,3.2350531199,-8.2044,109.4906,None,家电行业
000017,深中华A,2023-04-28 00:00:00,0.0041,151527917.92,2848657.72,0.98,201.566390991,415.12,0.42510792416,-0.010948989565,5.5118518519,-48.7387,132.2677,None,交运设备
000019,深粮控股,2023-04-26 00:00:00,0.0915,1338942951.54,105444874.99,2.19,-38.7050717868,-23.28,4.224194715713,-0.162095172405,18.5208491926,-31.2554,3.1696,None,贸易行业
000020,深华发A,2023-04-25 00:00:00,0.0227,175868641.87,6432411.78,1.8,2.3794765057,8.91,1.271432256719,0.118616622324,13.8346517385,19.8079,301.2683,None,光学光电子
000021,深科技,2023-04-29 00:00:00,0.0647,3933775539.21,101012991.01,1.02,7.7513461283,-58.3,6.664832994507,0.328158929693,10.7470049792,-4.2026,20.7128,None,消费电子
000023,ST深天,2023-04-29 00:00:00,-0.1344,42802914.93,-18652947.49,-14.27,-44.4114354451,45.3,0.874838039068,-0.01920375199,-2.5850329161,-39.5032,89.5126,None,水泥建材
000025,特力A,2023-04-27 00:00:00,0.0586,339838493.18,25274084.85,1.66,142.6206037397,-25.24,3.551521632061,-0.10067778476,14.0853562827,105.4178,18.2218,None,汽车服务
000026,飞亚达,2023-04-25 00:00:00,0.2505,1200095568.76,103189489.23,3.23,2.2488567442,19.5,7.788741768894,0.191965030311,36.0281878423,23.892,179.7974,None,珠宝首饰
000027,深圳能源,2023-04-28 00:00:00,0.1085,8092758140.94,634034448.15,1.81,4.195012425,22.45,6.074152585726,0.390607947835,22.1499361924,-24.6278,49.9252,None,电力行业
000028,国药一致,2023-04-26 00:00:00,0.85,18686817786.5,362205346.22,2.22,8.9555923925,43.53,38.512151975107,0.490474734525,11.4160795675,-0.7413,-17.505,None,医药商业
000029,深深房A,2023-04-29 00:00:00,-0.0352,109155515.74,-35653798.52,-0.89,-59.9568829507,-121.97,3.924724063796,-0.181126830487,7.3983632758,1.0414,-224.673,None,房地产开发
000030,富奥股份,2023-04-28 00:00:00,0.05,2803266645.3,81870997.61,1.09,3.2885569193,243.12,4.340598796515,-0.356405261466,8.2889309756,-15.4785,-60.9446,None,汽车零部件
000031,大悦城,2023-04-29 00:00:00,0.04,6085492212.23,171381768.89,1.1,-25.6148650734,269.9,3.657382140954,0.641180304656,30.2866596613,-58.6603,105.7638,None,房地产开发
000032,深桑达A,2023-04-26 00:00:00,-0.0497,12926328439.38,-56570897.29,-0.96,13.3275250702,54.7,5.438917616384,-1.949405012148,10.3240067674,-27.8272,-114.7081,None,通信设备
000034,神州数码,2023-04-29 00:00:00,0.3193,27116531769.73,209104951.63,2.71,-5.1830508528,11.63,11.702811556525,0.121948947738,3.677077116,-13.5892,-35.3422,None,计算机设备
000035,中国天楹,2023-04-29 00:00:00,0.0192,1116645023.42,45912935.99,0.44,-7.2781904652,7.62,4.107614472074,-0.070843076654,23.637461944,-60.682,2126.5396,None,环保行业
000036,华联控股,2023-04-29 00:00:00,0.02,169313505.63,29710062.69,0.56,-16.3826969191,-15.04,3.59513407091,-0.218475285389,49.0696817722,-90.8075,-91.8292,None,房地产开发
000037,深南电A,2023-04-26 00:00:00,-0.0517,111067616.64,-31147959.3,-2.16,47.9114688809,19.79,2.363605033714,-0.061160439939,-14.2032752185,-33.9593,-77.1424,None,电力行业
000039,中集集团,2023-04-28 00:00:00,0.0267,26649907000,160177000,0.31,-25.0537393281,-90.61,8.681382232911,0.107103338123,13.6823029063,-17.7562,57.6157,None,通用设备
000040,东旭蓝天,2023-04-28 00:00:00,0.0109,583622511.78,16221272.4,0.1439,-14.0442683041,128.14,7.587948153255,-0.028566467827,17.701002822,94.376,111.4449,None,电力行业
000042,中洲控股,2023-04-28 00:00:00,0.0916,2490227317.81,60892455.65,0.78,114.7229848285,67.63,11.531021960992,0.63749076699,32.2168599755,143.531,129.0657,None,房地产开发
000045,深纺织A,2023-04-29 00:00:00,0.0259,679306013.14,13108613.21,0.46,1.3055113757,-25.63,5.651321248671,0.004422427847,11.410446547,-5.1182,-21.785,None,光学光电子
000046,*ST泛海,2023-04-29 00:00:00,-0.2517,1712167214.05,-1307800923.63,-21.94,-25.0300701555,-63.97,-1.262374745078,-0.018628451813,52.0840481251,-59.2119,85.9317,None,多元金融
000048,京基智农,2023-04-29 00:00:00,2.3312,6663134945.61,1219766615.49,37.73,1347.3574899858,960.38,7.345204358312,-0.72537486536,47.8200836638,74.8912,48.7979,None,房地产开发
000049,德赛电池,2023-04-28 00:00:00,0.2457,4288354313.24,73554204.39,1.78,-12.5255327666,-52.31,13.896785951416,3.597626336088,8.6789176443,-31.2451,-71.7472,None,电池
000050,深天马A,2023-04-29 00:00:00,-0.2695,7708229972.16,-662267476.32,-2.23,-11.1474459583,-937.5,11.951731971548,0.18740486499,5.94894653,6.5487,-165.9148,None,光学光电子
000055,方大集团,2023-04-25 00:00:00,0.07,815219822.9,70822028.03,1.22,25.0873657807,61.36,5.370542153965,-0.133978675847,24.0035924389,-33.7597,2.8817,None,装修装饰
000056,皇庭国际,2023-04-29 00:00:00,-0.09,195608889.46,-101828223.54,-4.97,8.2954498366,13.35,1.651043931093,0.03405806066,57.7393497411,19.8564,87.7193,None,房地产服务
000058,深赛格,2023-04-27 00:00:00,0.0267,445269320.85,32905373.52,1.69,-5.7175894792,-2.41,1.594211255336,-0.014929304083,24.0522886386,-13.7437,1054.8652,None,商业百货
000059,华锦股份,2023-04-29 00:00:00,-0.3113,9974560712.16,-497826594.5,-3.51,-6.7292948075,-275.25,8.714097050471,-2.581662577672,11.4507073728,-26.2509,-3210.7469,None,石油行业
000060,中金岭南,2023-04-28 00:00:00,0.09,16791463190.19,320122367.95,2.16,13.9864651216,-3.73,3.852221670054,0.00859500796,4.4864248052,98.6379,92.1883,None,有色金属
000061,农产品,2023-04-27 00:00:00,0.0514,1240256323.88,87142527.36,1.51,31.6073068635,24.46,3.435208770308,0.06411096351,25.9017993091,-16.2905,22.2589,None,贸易行业
000062,深圳华强,2023-04-28 00:00:00,0.1198,3854160484.26,125305274.17,1.77,-34.3141017081,-42.96,6.790064363199,1.162520292548,11.5732924644,-26.2174,-50.8516,None,电子元件
000063,中兴通讯,2023-04-22 00:00:00,0.56,29142882000,2642269000,4.41,4.3415654649,19.2,12.913552118107,0.49098296073,44.4947174408,-4.1208,109.6533,None,通信设备
000065,北方国际,2023-04-25 00:00:00,0.1936,4792486384.26,193932616.87,2.48,95.34610443,84.87,7.711891003503,0.700833548239,12.8477422931,13.0142,41.2865,None,工程建设
000066,中国长城,2023-04-29 00:00:00,-0.095,2198572939.49,-305225491.02,-2.26,-22.2889666031,-161.0841091194,4.145565895282,-0.090768985393,21.1398754402,-51.526,-152.6463,None,计算机设备
000068,华控赛格,2023-04-29 00:00:00,-0.0267,105671217.89,-26919587.25,-83.82,-58.833267537,-176.73,0.018533178119,0.012726084217,9.3312740753,-58.8428,84.8541,None,环保行业
000069,华侨城A,2023-04-29 00:00:00,-0.0369,6916525640.79,-302667804.61,-0.44,-7.4432688326,-271.68,7.991557734422,-0.973243743148,20.1508830155,-85.4345,97.2563,None,房地产开发
000070,特发信息,2023-04-29 00:00:00,-0.0123,972291828.07,-10358798.11,-0.58,22.1424682757,-246.22,2.029224500992,-0.259108417549,12.3575708508,-18.7999,82.7406,None,通信设备
000078,海王生物,2023-04-28 00:00:00,0.0271,9957850383.56,74530706.41,1.26,8.2183217091,5.08,1.72887476275,0.039798118043,10.6893430271,12.1492,106.429,None,医药商业
000088,盐田港,2023-04-29 00:00:00,0.05,192845085.76,106255332.35,1.11,1.1930197404,27.11,4.263917279436,0.027230918906,36.1486531613,-11.9425,35.1948,None,航运港口
000089,深圳机场,2023-04-28 00:00:00,-0.0526,906750286.9,-107877085.26,-1.01,39.9889330696,63.89,5.156671898031,0.086902434368,0.9006110809,45.3682,57.3476,None,航空机场
000090,天健集团,2023-04-28 00:00:00,0.1152,3228740728.41,215286049.37,1.97,-16.3675562568,-76.3,5.783356013954,0.517341601339,18.9324235799,-76.2176,-59.4588,None,工程建设
000096,广聚能源,2023-04-29 00:00:00,0.019,514445369.94,10043963.09,0.39,53.0196948718,7.08,4.902064292519,-0.147668184602,7.7096312412,-0.9333,271.2321,None,石油行业
000099,中信海直,2023-04-26 00:00:00,0.0885,404919016.51,68654095.99,1.39,12.1941643729,-3.43,6.430099627346,0.266975246393,15.211948251,-17.9697,150.4784,None,航空机场
000100,TCL科技,2023-04-28 00:00:00,-0.0326,39465731391,-548999154,-1.09,-2.7878628885,-140.59,2.909053712632,0.263319182284,10.3581064318,-1.4748,-2737.9186,None,光学光电子
000150,*ST宜康,2023-04-29 00:00:00,-0.0889,208337905.44,-78034861.33,-9.53,-19.571478881,9.39,-0.977473257055,-0.010966780724,18.505464149,-15.0241,45.6612,None,医疗服务
000151,中成股份,2023-04-29 00:00:00,-0.0995,1180654178.64,-33579516.53,-4.89,96.6358098723,-2480.7,1.987607151501,0.304505521919,5.3370857479,-41.8296,91.489,None,贸易行业
000153,丰原药业,2023-04-27 00:00:00,0.1386,1206114496.19,46024429.74,2.63,22.0306131425,23.74,5.368136614411,0.060358333773,28.1693967682,5.9348,64.7936,None,化学制药
000155,川能动力,2023-04-28 00:00:00,0.19,930123619.13,276316699.85,5.02,11.2780562427,20.41,3.824416314197,0.028133156233,69.0593722672,-35.3793,0.5224,None,电力行业
000156,华数传媒,2023-04-29 00:00:00,0.083,2128082896.75,154398951.11,1.06,7.8346149354,1.66,7.930747099154,-0.191675708428,29.0227141609,-31.7172,-27.2859,None,文化传媒
000157,中联重科,2023-04-28 00:00:00,0.1,10425507345.2,810064655.82,1.48,4.1307919514,-10.63,6.290945406897,0.032953848693,26.3937658504,-5.0723,489.5072,None,工程机械
000158,常山北明,2023-04-28 00:00:00,-0.0511,1295702855.21,-81748331.21,-1.38,-33.6173806538,5.47,3.671255652373,-0.8770895967,12.3192624573,-66.0817,-13.3108,None,综合行业
000159,国际实业,2023-04-27 00:00:00,0.01,2124044896.89,4791564.24,0.19,710.0892513798,-77.22,5.25694818376,-0.153944031234,2.205234135,144.8225,1065.4751,None,石油行业
000166,申万宏源,2023-04-29 00:00:00,0.08,5765114214.28,2010990436.36,2.09,19.3541811362,87.77,3.893257276847,1.180899006322,None,125.828,234.9689,None,证券
000301,东方盛虹,2023-04-21 00:00:00,0.11,29534484781.56,717218243.78,1.99,114.4350138126,4.75,5.373169594086,0.353428796109,14.3172493161,72.5715,169.6903,None,化纤行业
000333,美的集团,2023-04-29 00:00:00,1.18,96636184000,8041853000,5.46,6.2650516028,12.04,21.689644809222,1.320052954096,24.0409157744,30.7066,58.1925,None,家电行业
000338,潍柴动力,2023-04-29 00:00:00,0.21,53434143416.55,1855931279.89,2.5,18.2491186266,68.29,8.660679748413,-0.054044420443,18.7004815686,19.716,16.4906,None,汽车零部件
000400,许继电气,2023-04-22 00:00:00,0.1482,3263671574.37,149408682.95,1.47,32.1844990221,48.48,10.151820087896,-0.090764650906,13.209065942,-43.7461,34.4374,None,电网设备
000401,冀东水泥,2023-04-26 00:00:00,-0.298,5184292326.54,-792217988.91,-2.64,4.3499712942,-239.7649767287,11.141409144174,-0.069374333695,5.0296262658,-27.9208,-186.4181,None,水泥建材
000402,金融街,2023-04-29 00:00:00,-0.07,2835207887.57,-211134327.43,-0.56,-39.675026915,-122.59,12.619012588344,0.632594987759,18.1478759771,-43.245,60.4235,None,房地产开发
000403,派林生物,2023-04-29 00:00:00,0.0771,260860262.39,56376087.53,0.82,-47.8718012022,-46.62,9.460298944417,0.145454283977,48.410180862,-71.388,-76.2719,None,生物制品
000404,长虹华意,2023-04-20 00:00:00,0.0904,4237222935.89,62948669.75,1.73,13.594639422,92.47,5.265837947147,-0.584124210565,8.8669680839,33.1612,-46.6013,None,家电行业
000407,胜利股份,2023-04-29 00:00:00,0.0258,1251644916.93,22715927.41,0.83,10.3492495169,-26.37,3.127479280357,-0.166548935311,13.328172156,0.5279,122.2258,None,燃气
000408,藏格矿业,2023-04-18 00:00:00,0.5825,1373645973.66,920597301.86,7.31,6.8356321715,13.06,7.313537370877,0.185474160102,69.0734558186,-44.6407,-38.1776,None,化肥行业
000409,云鼎科技,2023-04-29 00:00:00,0.0353,255163998.18,23465283.19,1.68,75.1600085753,801.18,2.125214378957,-0.145133412697,36.9439152241,-52.0429,183.2629,None,互联网服务
000410,沈阳机床,2023-04-29 00:00:00,-0.02,377565932.45,-34712246.08,None,-18.4002633939,-281.19,0.473021966284,-0.029023001299,8.3125507051,-12.1465,-252.7512,None,通用设备
000411,英特集团,2023-04-29 00:00:00,0.1859,7901790697.96,68312123.23,2.58,10.8373507091,43.67,11.698226705308,-4.169582040151,6.3404500476,-4.8726,31.6394,None,医药商业
000413,东旭光电,2023-04-29 00:00:00,-0.04,1141123417.11,-225232367.09,-1,-13.2407775802,56.71,3.979988028318,0.016183952576,7.3760007785,-16.7407,54.8546,None,光学光电子
000415,渤海租赁,2023-04-28 00:00:00,0.0397,6509997000,245687000,0.89,-1.2276453479,133.3,4.433392335478,0.893972710255,50.2402996499,-31.4942,114.1543,None,多元金融
000416,*ST民控,2023-04-29 00:00:00,-0.0012,4488995.37,-646957.32,-0.08,64.6345230846,86.05,1.605966730058,-0.007637645495,None,-13.7016,96.702,None,多元金融
000417,合肥百货,2023-04-26 00:00:00,0.1239,1968705804.18,96602942.66,2.22,3.3386123964,6.32,5.55323812257,0.248432599583,28.5074430516,49.8879,412.1529,None,商业百货
000419,通程控股,2023-04-29 00:00:00,0.0554,533228812.19,30092991.97,0.95,0.3905324462,-38.8,5.857403254285,-0.180436408516,26.2797198861,-7.3947,344.7362,None,商业百货
000420,吉林化纤,2023-04-29 00:00:00,0.0049,741218928.59,12077686.08,0.28,-20.8698788684,124.65,1.76611040422,0.016597323076,13.0730135419,16.2004,510.9148,None,化纤行业
000421,南京公用,2023-04-28 00:00:00,-0.0038,1366402000.34,-2174821.01,-0.08,-3.5562495828,83.37,4.957972130083,2.779363173108,10.5085568628,-62.9303,-102.5764,None,燃气
000422,湖北宜化,2023-04-29 00:00:00,0.2451,4718236820.44,220099824.27,4.33,-14.5942421689,-65.52,5.468898290073,1.063220040359,12.8775451509,3.8867,1490.4684,None,化学原料
000423,东阿阿胶,2023-04-26 00:00:00,0.3577,1069042839.05,230335474.7,2.21,20.0568304175,100.86,16.145613139189,1.037271040709,70.7826060649,7.4068,-13.7643,None,中药
000425,徐工机械,2023-04-29 00:00:00,0.129,23892908942.03,1523350581.21,2.84,-9.8112669387,-26.38,4.565048730984,0.068126680055,22.6285266084,27.723,513.0741,None,工程机械
000426,兴业矿业,2023-04-29 00:00:00,0.0076,458991934.99,13990219.8,0.25,-11.1489886417,-76.96,3.031445876726,0.070554306865,37.5964143104,4.8122,124.9961,None,有色金属
000428,华天酒店,2023-04-28 00:00:00,-0.043,133042474.07,-43838419.23,-2.46,25.7269056801,-31.93,1.730393866797,0.003577861376,15.0486331677,53.2376,66.7997,None,旅游酒店
000429,粤高速A,2023-04-28 00:00:00,0.2,1154573212.16,409848394.33,4.42,8.2957182499,-4.77,4.533955202081,0.469112583913,68.4559808287,31.1158,380.1954,None,铁路公路
000430,张家界,2023-04-28 00:00:00,-0.07,64047448.06,-30047728.28,-2.75,544.1268064858,51.56,2.664616267062,-0.030433754987,-2.3736142127,162.3096,74.153,None,旅游酒店
000488,晨鸣纸业,2023-04-29 00:00:00,-0.101,6155915692.16,-275409967.37,-1.66,-27.7048979549,-341.76,5.982656412065,0.307695398971,10.5161844711,-7.4066,-437.0108,None,造纸印刷
000498,山东路桥,2023-04-25 00:00:00,0.1278,10555486845.49,236841572.74,1.54,0.2821733632,0.52,8.321788069423,-1.294989221841,10.4462218552,-52.1281,-76.2401,None,工程建设
000501,武商集团,2023-04-29 00:00:00,0.17,2054468957.64,131860206.61,1.21,9.6568245919,-25,14.247363152357,1.036251526544,46.139451842,39.1988,587.1051,None,商业百货
000503,国新健康,2023-04-27 00:00:00,-0.0484,55766199.77,-43865115.01,-6.36,46.9411593384,11.25,0.737035697011,-0.092122444059,-3.2399515431,-68.4104,-236.8949,None,软件开发
000504,南华生物,2023-04-29 00:00:00,-0.0063,34739572.68,-1976045.11,-15.46,-46.4049617866,-1335.77,0.037856696187,0.000710902548,68.7068909565,-20.9402,85.0701,None,医疗服务
000505,京粮控股,2023-04-27 00:00:00,0.05,3206922214.64,37265080.42,1.21,6.0335467792,0.74,4.262600018856,-0.130515802381,3.1559078632,-6.0436,-25.2755,None,农牧饲渔
000506,中润资源,2023-04-28 00:00:00,-0.04,70876731.03,-37898030.05,-6.08,12.128244598,-114.34,0.651179134131,-0.011173694977,-11.6061393499,2.9655,-184.4502,None,贵金属
000507,珠海港,2023-04-29 00:00:00,0.0663,1259081438.48,60913203.89,0.94,-5.7226778513,4.62,5.460334213045,0.226014047928,25.8809642769,8.9102,-33.9422,None,航运港口
000509,华塑控股,2023-04-29 00:00:00,-0.0037,134787863.5,-3990464.85,-2.98,-54.5204149283,-322.36,0.122450440705,-0.007496414808,7.0109325014,-39.7269,35.3255,None,光学光电子
000510,新金路,2023-04-22 00:00:00,-0.0399,836687888.06,-24285633.36,-1.71,0.8038589742,-176.05,2.314847725669,-0.307567910965,4.1718328003,20.6555,-506.0809,None,化学原料
000513,丽珠集团,2023-04-21 00:00:00,0.62,3413055191.98,581909331.89,4.12,-1.8962849413,5.17,15.268944472745,0.320435821537,63.0717552118,8.6502,44.5409,None,化学制药
000514,渝开发,2023-04-22 00:00:00,-0.0238,47084885.42,-20041012.77,-0.55,4.2438764611,-64.45,4.313058953421,-0.095352241174,-21.9784037015,-93.9317,-110.7433,None,房地产开发
000516,国际医学,2023-04-19 00:00:00,-0.0328,1059092457.42,-74740547.17,-1.75,247.396663907,82.55,1.839263968307,0.097980819943,8.1869204206,32.8741,78.6207,None,医疗服务
000517,荣安地产,2023-04-29 00:00:00,0.2036,5185035291.69,648299336.51,6.82,35.5080141112,31.27,3.087643251459,0.410915134785,7.1339363609,32.1574,317.4715,None,房地产开发
000518,四环生物,2023-04-29 00:00:00,-0.0184,57013482.58,-18959108.45,-3.46,13.2183261132,18.55,0.522828895681,0.002963005482,68.3018131639,-22.4548,-41.095,None,生物制品
000519,中兵红箭,2023-04-25 00:00:00,-0.0246,776168384.52,-34282587.36,-0.35,-43.8306969272,-112.18,6.981851723549,-0.510152465858,24.8520945992,-58.5846,44.6735,None,专用设备
000520,长航凤凰,2023-04-28 00:00:00,-0.0084,230047629.18,-8463970.5,-1.54,3.3336326242,-179.69,0.538236976831,-0.012867239935,1.2595597835,-22.3703,-400.5475,None,航运港口
000521,长虹美菱,2023-04-20 00:00:00,0.119,5025237527.25,122540351.1,2.34,25.2262932252,2280.51,5.142406271983,-0.361200223921,14.6575037597,3.8305,48.8219,None,家电行业
000523,广州浪奇,2023-04-29 00:00:00,0.0023,631525844.54,3796442.51,0.39,-1.9629882138,129.56,0.851706287973,0.099510333008,10.5886790886,19.6933,111.594,None,美容护理
000524,岭南控股,2023-04-26 00:00:00,0.013,476906649.58,8708390.69,0.43,154.3869222683,111.47,3.052109124019,0.03346949238,26.5141452004,164.3258,110.5733,None,旅游酒店
000525,ST红太阳,2023-04-29 00:00:00,0.0195,747388776.2,11316969.11,0.89,-51.103051289,-96.3,2.217011930772,0.116089479338,32.5410753339,-29.888,105.3026,None,农药兽药
